"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$UpCase:$Info"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"32"	"10"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$UpCase:$Info"
"$Volume"	""	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/$Volume"
"access_log.txt.txt"	".txt"	"r"	""	"2025-12-02 22:59:39 IST"	"2025-12-02 22:51:58 IST"	"2025-12-02 22:59:39 IST"	"123"	"44"	"0dafe4e5fbf92f8dd436c621a482f957"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/Forensic_USB/access_log.txt.txt"
"Evidence_photo.jpg.png"	".png"	"r"	""	"2025-12-02 23:06:20 IST"	"2025-12-02 23:05:54 IST"	"2025-12-02 23:06:14 IST"	"2718277"	"47"	"8efae89118a78baf1246b031f3160347"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/Forensic_USB/Evidence_photo.jpg.png"
"Evidence_photo.jpg.png-slack"	".png-slack"	"r"	""	"2025-12-02 23:06:20 IST"	"2025-12-02 23:05:54 IST"	"2025-12-02 23:06:14 IST"	"1467"	"47"	"null"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/Forensic_USB/Evidence_photo.jpg.png-slack"
"Evidence_photo.jpg.png:Zone.Identifier"	".Identifier"	"r"	""	"2025-12-02 23:06:20 IST"	"2025-12-02 23:05:54 IST"	"2025-12-02 23:06:14 IST"	"290"	"47"	"e940205443c6311b4a375ff92eaba178"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/Forensic_USB/Evidence_photo.jpg.png:Zone.Identifier"
"hidden_note.txt.txt"	".txt"	"r"	""	"2025-12-02 23:18:32 IST"	"2025-12-02 22:59:46 IST"	"2025-12-02 23:01:27 IST"	"116"	"45"	"94dd595261c7cb5cc460baa456777055"	"unknown"	"rr-xr-xr-x"	"/img_compromise system.E01/vol_vol2/Forensic_USB/hidden_note.txt.txt"
"WPSettings.dat"	".dat"	"r"	""	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"2025-12-02 22:21:01 IST"	"12"	"37"	"21d6edc1da276094500545789e9cf882"	"unknown"	"rrwxrwxrwx"	"/img_compromise system.E01/vol_vol2/System Volume Information/WPSettings.dat"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_compromise system.E01/vol_vol2/$OrphanFiles"
"autopsy.log.0"	".0"	"r"	"yes"	"2025-12-02 23:55:33 IST"	"2025-12-02 23:53:00 IST"	"2025-12-03 00:05:45 IST"	"8711"	"55"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/autopsy.log.0"
